x,1
44.745,9.496e+04
51.06,8.056e+04
58.601,6.834e+04
66.872,5.68e+04
76.309,47200
87.079,38429
98.8,31287
112.098,24954
127.186,19498
142.657,14925
160.932,11192
180.51,8567
202.47,6425
227.09,4918
253.26,3612.8
277.96,2756

x,2
76.308,36131
87.078,30651
99.367,25473
112.097,20317
126.457,15552
142.656,12152
160.93,9302
180.51,6975
203.63,5450
228.4,4087.2
256.18,3064.9

x,3
78.98,18334
90.646,16543
104.034,14325
118.717,12405
135.472,10099
153.706,7891
173.396,6294
195.61,4918
221.94,3922.5
250.37,3002.6
282.44,2394.8
318.62,1871.2

x,4
83.163,5341
95.996,5125
110.176,4720.5
125.725,4259.3
144.296,3764.9
165.608,3260.2
188.98,2765.7
215.65,2346.3
246.09,1990.4
280.82,1620.5
316.79,1319.3
359.43,1052.3
395.65,895.1

x,5
84.12,2395.5
96.546,2600.7
111.445,2709.8
127.907,2654.6
147.644,2495.7
169.452,2298.6
193.37,2031.9
221.93,1723.7
253.25,1432.5
288.99,1190.5
326.01,989.4
367.78,789.1
390.74,675.7

x,6
84.115,523.3
97.095,523.3
112.078,534.1
129.374,534.1
149.339,534.1
172.384,523.2
197.85,502.1
228.38,481.87
262.11,453.03
300.83,417.26
343.28,368.83
382.7,326.85

x,7
82.672,103.14
95.43,103.14
110.157,103.14
127.156,101.03
146.778,101.03
168.459,98.97
194.45,94.98
224.46,91.15
257.62,83.96
295.67,77.33
339.34,71.22
387.23,64.26
