x,1
8.6319,1.0904e+06
9.1832,9.364e+05
11.0494,7.445e+05
13.295,5.92e+05
15.868,4.473e+05
18.94,3.4673e+05
21.477,2.9149e+05
26.34,2.3065e+05
31.692,1.7878e+05
38.133,1.3509e+05
45.514,1.0741e+05
47.765,9.951e+04
57.472,7.713e+04
69.151,6.132e+04
82.537,4.634e+04
97.725,35018
116.643,25797
138.11,18527
166.17,13648
196.75,10055
242.47,6217

x,2
11.4809,4.982e+05
12.2402,4.436e+05
12.898,3.837e+05
13.994,4.065e+05
14.632,3.5999e+05
17.156,2.8696e+05
21.177,2.2929e+05
25.919,1.7436e+05
31.187,1.4587e+05
37.524,1.2203e+05
45.514,9.702e+04
53.458,7.332e+04
57.472,6.293e+04
68.597,5.003e+04
82.537,37808
97.725,27853
110.257,23905
131.6,17610
157.08,13307
185.98,9803

x,3
10.8317,1.9706e+05
11.8201,2.0282e+05
14.075,1.9695e+05
15.366,1.7018e+05
18.489,1.4603e+05
22.426,1.2531e+05
26.983,1.022e+05
29.717,9.229e+04
36.925,7.337e+04
44.429,6.296e+04
56.25,4.745e+04
68.163,37610
81.642,31594

x,4
11.6154,1.4324e+05
12.456,1.3129e+05
13.279,1.169e+05
14.491,1.0714e+05
15.63,9.54e+04
17.56,8.743e+04
18.504,7.562e+04
19.613,8.248e+04
21.032,6.931e+04
22.607,6.635e+04
27.42,5.84e+04
33.259,5.14e+04
40.341,4.411e+04
48.151,37852
53.03,34184
64.322,30089
65.893,30087
79.283,25170
95.395,20528
111.147,17174
133.73,13655
159.62,10059
192.06,8204

x,5
11.8201,33620
12.383,35623
13.402,34286
16.256,30179
19.718,26564
21.542,25241
26.129,22790
31.692,20577
32.729,21105
39.698,19547
44.788,19542
53.89,17644
65.893,16762
72.67,16224
83.204,15133
100.112,12659
107.959,11448
127.07,9900
155.82,7800
187.48,6362
218.44,5189
262.83,4232

x,6
11.4809,3307.5
12.2402,3212.6
12.898,3607.1
14.075,3503.4
15.359,3711.8
16.957,3820.1
18.638,3747.8
22.789,3941.7
27.642,4252
33.528,4473
36.925,4705
45.15,4824
47.765,4948
58.404,5204
63.295,5203
77.393,5472
94.631,5469
108.497,5197
131.6,4692
148.48,4458
180.09,3924.1
218.44,3367.3
262.83,2816.9
316.91,2387.2

x,7
10.2192,502.7
10.9609,490.4
13.402,490.2
16.387,490
20.037,489.8
20.692,489.8
25.301,489.5
30.937,477
37.827,464.9
45.882,464.7
56.101,452.8
68.047,430.2
79.763,433
89.091,432.9
109.373,408.4
132.66,398
162.21,387.82
186.59,373.85
196.63,373.81
215.82,342.61
234.14,362.99
252.55,362.93
